data_structure,time,D,k,N
bucketKNN,1168123,7,100,1000
bucketKNN,1048438,7,1,10000
bucketKNN,2100940,7,2,10000
bucketKNN,3179540,7,5,10000
bucketKNN,4291748,7,10,10000
bucketKNN,5464801,7,20,10000
bucketKNN,6802431,7,50,10000
bucketKNN,8399355,7,100,10000
bucketKNN,10781081,7,1,100000
bucketKNN,21583146,7,2,100000
bucketKNN,32416799,7,5,100000
bucketKNN,43273913,7,10,100000
bucketKNN,54222123,7,20,100000
bucketKNN,65381716,7,50,100000
bucketKNN,77024635,7,100,100000
quadTree,6932,2,1,100
quadTree,14778,2,2,100
quadTree,28041,2,5,100
quadTree,45654,2,10,100
quadTree,68730,2,20,100
quadTree,105081,2,50,100
quadTree,151446,2,100,100
quadTree,66769,2,1,1000
quadTree,136729,2,2,1000
quadTree,223328,2,5,1000
quadTree,327428,2,10,1000
quadTree,460461,2,20,1000
quadTree,653664,2,50,1000
quadTree,915387,2,100,1000
quadTree,659592,2,1,10000
quadTree,1331028,2,2,10000
quadTree,2062955,2,5,10000
quadTree,2861860,2,10,10000
quadTree,3765991,2,20,10000
quadTree,4883423,2,50,10000
quadTree,6285395,2,100,10000
quadTree,6595495,2,1,100000
quadTree,13227465,2,2,100000
quadTree,20091718,2,5,100000
quadTree,27169230,2,10,100000
quadTree,34621718,2,20,100000
quadTree,42889402,2,50,100000
quadTree,52244278,2,100,100000
kdTree,1013,1,1,100
kdTree,3662,1,2,100
kdTree,24316,1,5,100
kdTree,48804,1,10,100
kdTree,77198,1,20,100
kdTree,112304,1,50,100
kdTree,153036,1,100,100
kdTree,1595,1,1,1000
kdTree,7411,1,2,1000
kdTree,155446,1,5,1000
kdTree,431882,1,10,1000
kdTree,740017,1,20,1000
kdTree,1098252,1,50,1000
kdTree,1502755,1,100,1000
kdTree,2178,1,1,10000
kdTree,12022,1,2,10000
kdTree,574720,1,5,10000
kdTree,3277054,1,10,10000
kdTree,6336127,1,20,10000
kdTree,9852641,1,50,10000
kdTree,13769402,1,100,10000
